model,epoch,train_loss,val_loss,test_accuracy
A0_B0_C0_D0,1,0.38756102994084357,0.18992272736504673,87.34375
A0_B0_C0_D0,2,0.19778389853114883,0.2093883161433041,87.34375
A0_B0_C0_D0,3,0.18066278745924744,0.24486754043027759,87.34375
A0_B0_C0_D0,4,0.1708836993513008,0.24274839190766215,87.34375
A0_B0_C0_D0,5,0.169017686167111,0.2675220737699419,87.34375
A4_B70_C2_D3,1,0.3060352327126377,0.24613431077450515,87.421875
A4_B70_C2_D3,2,0.2042170678423542,0.24651002706959843,87.421875
A4_B70_C2_D3,3,0.1775442984394448,0.25284667387604715,87.421875
A4_B70_C2_D3,4,0.16385173398368763,0.26721970532089473,87.421875
A4_B70_C2_D3,5,0.15564033159248108,0.23777266489341856,87.421875
A5_B60_C1_D2,1,0.3142198411734788,0.2310411143116653,84.0625
A5_B60_C1_D2,2,0.19638564135870595,1.0669676460325719,84.0625
A5_B60_C1_D2,3,0.1822801749334088,0.2701334683224559,84.0625
A5_B60_C1_D2,4,0.16453900938910065,0.2558043195866048,84.0625
A5_B60_C1_D2,5,0.14817750969975493,0.3515171015635133,84.0625
A6_B80_C1_D3,1,0.29846186723234586,0.222897635307163,87.109375
A6_B80_C1_D3,2,0.19596673859265243,0.36489775814116,87.109375
A6_B80_C1_D3,3,0.1692297564005678,0.2519413542933762,87.109375
A6_B80_C1_D3,4,0.15912505638903207,0.3131717018783092,87.109375
A6_B80_C1_D3,5,0.14246172373481455,0.24092729659751058,87.109375
A3_B75_C2_D3,1,0.30526524310810244,0.2645762332715094,86.71875
A3_B75_C2_D3,2,0.20335345587762738,0.20433252304792404,86.71875
A3_B75_C2_D3,3,0.16741205679080573,0.29829485369846226,86.71875
A3_B75_C2_D3,4,0.16476361589574065,0.24578112084418535,86.71875
A3_B75_C2_D3,5,0.14486716374985953,0.3001810892485082,86.71875
A7_B50_C1_D1,1,0.3274117016023205,0.21521692406386136,85.859375
A7_B50_C1_D1,2,0.19569021205951648,0.22308740480802952,85.859375
A7_B50_C1_D1,3,0.17886454792965953,0.25769140841439364,85.859375
A7_B50_C1_D1,4,0.15828605164443293,0.2281034336425364,85.859375
A7_B50_C1_D1,5,0.13322674634429643,0.2858677066862583,85.859375
