epoch,train_loss,val_loss,test_accuracy
1,0.4283778393020233,0.198281776253134,76.5625
2,0.19486320949702834,0.2048585183918476,76.5625
3,0.17567320379118126,0.20829920768737792,76.5625
4,0.17582899907623262,0.24608377665281295,76.5625
5,0.17659418315937123,0.3282824318856001,76.5625
6,0.16739883925765753,0.23721333257853985,76.5625
7,0.15858193915482843,0.24082489227876067,76.5625
8,0.15933968527242542,0.26533858431503177,76.5625
9,0.1554658298070232,0.24335631262511015,76.5625
10,0.18872740495329102,0.7286198876798153,76.5625
