epoch,train_loss,val_loss,test_accuracy
1,0.3011415315405378,0.22759991767816246,86.328125
2,0.21024865236765933,0.2637291545048356,86.328125
3,0.1735818002636562,0.2087378536351025,86.328125
4,0.16421777980823843,0.33813926167786124,86.328125
5,0.15758260151476794,0.25253679635934534,86.328125
6,0.12642651486149023,0.32078319136053324,86.328125
7,0.1189647947978404,0.2725348975509405,86.328125
8,0.11004819224790652,0.2998924532905221,86.328125
9,0.09792177771604708,0.31012039110064504,86.328125
10,0.0879360462180866,0.2949764121323824,86.328125
