epoch,train_loss,val_loss,test_accuracy
1,0.3274117016023205,0.21521692406386136,85.859375
2,0.19569021205951648,0.22308740480802952,85.859375
3,0.17886454792965953,0.25769140841439364,85.859375
4,0.15828605164443293,0.2281034336425364,85.859375
5,0.13322674634429643,0.2858677066862583,85.859375
